repository_name,payload_commit_msg
bootstrap,Merge pull request #12605 from ZDroid/license-object Use license object instead of licenses array
bootstrap,"Move MIT license to top, link to pidfile recipe"
bootstrap,Update LICENSE.md
bootstrap,"Clear up license FAQs by using ""Bootstrap"" as noun instead of ""Twitter open source software"""
bootstrap,phpspec and renaming LICENSE
bootstrap,Merge pull request #1731 from gdi2290/patch-1 style(license): update copyright year range
bootstrap,"use variablef or wells background-color, update docs for glyphicons license mention, update popovers to remove that thick border and make them look mo betta"
bootstrap,"Update LICENSE Apache, IP Security Protocol, Peer Name Resolrution Protocol, RPC over HTTP Protocol, Peer-to-Peer Grouping Security Protocol, Peer-to-Peer Graphing Protocol, Domains Root CA, DKIM Proxy, Cloud Computing (include XaaS, shadow IT, IaaS, AWS, SaaS), jQuery, SEO, Copyright ⓒ 1997, SUNGHAN KIM™ ® SUNGHAN KIM is retain copyright and any other rights you already hold in Content which you submit, post or display on or through, the Services. By submitting, posting or displaying the content you give yourself, irrevocable, worldwide, royalty, and exclusive licence to reproduce, adapt, modify, translate, publish, publicly perform, publicly display and distribute any Content which you submit, post or display on or through, the Services. ""SUNGHAN KIM's Intellectual Property Rights"" means any and all rights existing from time to time under patent law, copyright law, semiconductor chip protection law, moral rights law, trade secret law, trademark law, unfair competition law, publicity rights law, privacy rights law, and any and all other proprietary rights, as well as, any and all applications, renewals, extensions, restorations and re-instatements thereof, now or hereafter in force and effect worldwide."
bootstrap,Change license from Apache to MIT
bootstrap,format MIT license (word wrap)
bootstrap,Create LICENSE.md
bootstrap,Create LICENSE
bootstrap,switch to MIT license
bootstrap,Change license from Apache to MIT
bootstrap,Update LICENSE
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Credit author & include MIT license for PidFile class recipe
bootstrap,Note about the license change from Apache to MIT
bootstrap,Updated license
bootstrap,Clearer note about the license change from Apache to MIT
bootstrap,Merge pull request #12317 from twbs/grunt-task-license clarify Grunt task licensing
bootstrap,underp license maybe
bootstrap,"Clear up license FAQs by using ""Bootstrap"" as noun instead of ""Twitter open source software"""
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,"Fonts inclusion, paths cleanup - we are using shorter and cleaner paths now - .gitignore modification is always required to be sure that licensed fonts don't get into remote"
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Change license from Apache to MIT
bootstrap,tweak part of license FAQ to reflect Twitter->twbs change
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Improve license overall
bootstrap,"using templating doesn't seem to work there; hardcode license URL instead Tested the customizer, the generated zip had: css/bootstrap.css:line 6: * Licensed under MIT (<%= _.pluck(pkg.licenses, ""url"").join("", "") %>) Revised customizer generates: css/bootstrap.css:line 4: * Licensed under MIT (https://github.com/twbs/bootstrap/blob/master/LICENSE)"
bootstrap,Update LICENSE
bootstrap,Change license from Apache to MIT
bootstrap,Merge pull request #11209 from ZDroid/new_year Update license year
bootstrap,Add README.md and License
bootstrap,Make the license stuff less scary. Add a license file too
bootstrap,Merge pull request #11105 from twbs/license-note Add notes about dual-licensing contributions before switching to MIT in v3.1
bootstrap,"modified: LICENSE modified: README.md new file: index.htm -Changed menu, it now contains the right items for my own needs. -Removed Analytics code, it's now simply a placeholder. -Changed copyright. All license-info moved to LICENSE."
bootstrap,Changed license.
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Added License file
bootstrap,"modified: LICENSE modified: README.md new file: index.htm -Changed menu, it now contains the right items for my own needs. -Removed Analytics code, it's now simply a placeholder. -Changed copyright. All license-info moved to LICENSE."
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Change license from Apache to MIT
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,"modified: LICENSE modified: README.md new file: index.htm -Changed menu, it now contains the right items for my own needs. -Removed Analytics code, it's now simply a placeholder. -Changed copyright. All license-info moved to LICENSE."
bootstrap,Merge pull request #8821 from twbs/twbs-license-faq-tweak tweak part of license FAQ to reflect Twitter->twbs change
bootstrap,Update LICENSE just for test
bootstrap,Merge pull request #11105 from twbs/license-note Add notes about dual-licensing contributions before switching to MIT in v3.1
bootstrap,"added licenses, added missing readme stuff"
bootstrap,Change license from Apache to MIT
bootstrap,added license file
bootstrap,Change license from Apache to MIT
bootstrap,Update LICENSE
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Change license from Apache to MIT
bootstrap,Change license from Apache to MIT
bootstrap,Rename license to license.md; point readme to it via link
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Merge pull request #11209 from ZDroid/new_year Update license year
bootstrap,Update LICENSE just for test
bootstrap,Change license from Apache to MIT
bootstrap,"Move license FAQs to the docs, add link to side nav"
bootstrap,Credit author & include MIT license for PidFile class recipe
bootstrap,Update LICENSE
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,tweak part of license FAQ to reflect Twitter->twbs change
bootstrap,Change license from Apache to MIT
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Punt Apache license information and stick with MIT
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Rename docs/LICENSE-DOCS to docs/LICENSE It sounded weird.
bootstrap,Added License files and Readme
bootstrap,Added README and LICENSE files.
bootstrap,Update LICENSE
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,"Dropping unused variable in dropdown.js Dropping an unused variable in the Dropdown function inside the `dropdown.js` code. There are no new/changed unit tests, as there are no feature/bug changes requiring new test cases. For the record: I agree to dual-license this contribution under the Apache 2 and MIT licenses."
bootstrap,license in customizer
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Move license to the top of the file.
bootstrap,Update LICENSE Just for test
bootstrap,Nicer docs license name DOCUMENTATION-LICENSE is so long.
bootstrap,Change license from Apache to MIT
bootstrap,Change license from Apache to MIT
bootstrap,Update LICENSE
bootstrap,Update LICENSE Just for test
bootstrap,Merge pull request #11046 from ZDroid/patch-3 Nicer docs license name
bootstrap,"Move MIT license to top, link to pidfile recipe"
bootstrap,Added README and LICENSE files.
bootstrap,QA-5429 - Product naming change - licenses and source code
bootstrap,Merge pull request #10693 from twbs/include-docs-license include a copy of the CC-BY 3.0 License that the docs are under
bootstrap,Change license from Apache to MIT
